author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,leaning,keyword
Amanda Terkel,Joe Biden Just Gave A Totally Normal Political Speech — And It Felt So Radical,"He never chanted, ""Lock him up!""",https://www.huffpost.com/entry/joe-biden-speech-normal_n_5fa75323c5b623bfac509654,https://img.huffingtonpost.com/asset/5fa7570c240000343961f4ce.jpeg?cache=la4omnwakx&ops=1778_1000,2020-11-08T03:35:26Z,"Joe Biden greeted the nation as president-elect for the first time Saturday night, calling for decency, compassion and a fair shot for all. 
He offered an olive branch to supporters of President Don… [+2796 chars]",the-huffington-post,The Huffington Post,left,biden
Stephanie McNeal,Best TikToks Of People Celebrating Biden's Win,"""Trump, you about to lose yo' job.""",https://www.buzzfeednews.com/article/stephaniemcneal/best-tiktoks-people-celebrating-bidens-win,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/7/21/campaign_images/3b1ef5ed41de/16-of-the-best-tiktoks-of-people-celebrating-bide-2-9088-1604783983-20_dblbig.jpg?resize=1200:*,2020-11-08T03:07:29.656902Z,,buzzfeed,Buzzfeed,left,biden
Mary Papenfuss,Joe Biden To Name Coronavirus Task Force Headed by Former Surgeon General On Monday,The president-elect immediately signaled the importance of the COVID-19 fight to his administration.,https://www.huffpost.com/entry/joe-biden-coronavirus-task-force-vivek-murthy_n_5fa7250cc5b66009569b1004,https://img.huffingtonpost.com/asset/5fa7300a2900004f27c6b8bc.jpeg?cache=bspjq1dj0a&ops=1778_1000,2020-11-08T00:48:07Z,"President-elect Joe Biden plans on Monday to name a 12-member coronavirus task force to be co-chaired by former Surgeon General Vivek Murthy, according to several media reports citing anonymous sourc… [+2639 chars]",the-huffington-post,The Huffington Post,left,biden
Ellie Hall,Here Are The Best Memes About Nevada Being Late To The Biden Election Party,"""Nevada finally showing up to brunch after telling us she was on her way an hour ago.""",https://www.buzzfeednews.com/article/ellievhall/nevada-memes-biden-win-late-count-pennsylvania,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/7/23/campaign_images/a9d97942c6e8/here-are-the-best-memes-about-nevada-being-late-t-2-9308-1604792825-13_dblbig.jpg?resize=1200:*,2020-11-07T23:52:21.9741565Z,,buzzfeed,Buzzfeed,left,biden
Hamed Aleaziz,How DHS Employees Are Reacting To Biden's Win,“We can actually carry out our mission for the American people again.”,https://www.buzzfeednews.com/article/hamedaleaziz/dhs-ice-employees-react-to-biden-election-win,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/7/21/campaign_images/5c1ed7daf952/the-chaos-may-end-how-dhs-employees-are-reacting--2-9180-1604785745-28_dblbig.jpg?resize=1200:*,2020-11-07T21:52:24.2528903Z,"The election of President-elect Joe Biden after a long, divisive campaign has been met with excitement and relief among many Department of Homeland Security employees who had been worried that the Tr… [+7319 chars]",buzzfeed,Buzzfeed,left,biden
Ellie Hall,Here Are Some Great Gritty Memes About Joe Biden Winning The Election,"Liberté, Egalité, Gritté.",https://www.buzzfeednews.com/article/ellievhall/gritty-memes-biden-philadelphia-pennsylvania,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/7/21/campaign_images/f3f50a5fc486/here-are-some-great-gritty-memes-about-joe-biden--2-9128-1604783880-0_dblbig.jpg?resize=1200:*,2020-11-07T21:22:24.1787837Z,,buzzfeed,Buzzfeed,left,biden
"Dominique Mosbergen, Sara Boboltz",President Trump Releases Statement From The Golf Course On Projected Biden Win,"Biden is projected to win Pennsylvania, a battleground state whose 20 electoral votes would push him over the 270 mark, thus winning the presidential ele...",https://www.huffpost.com/entry/trump-reacts-biden-president-election-win-2020_n_5fa4c52cc5b6f21920d9aab1,https://img.huffingtonpost.com/asset/5fa4cd6b2400004b1fb03c14.jpeg?cache=bbpjtjouyo&ops=1778_1000,2020-11-07T17:20:00Z,"Moments after Democrat Joe Biden was projected to be the winner of the 2020 presidential election, President Donald Trump released a statement on Saturday declaring that his opponent is rushing to fa… [+2991 chars]",the-huffington-post,The Huffington Post,left,biden
Paul Blumenthal,Joe Biden Had To Beat Donald Trump With One Hand Tied Behind His Back,"To pull off a historic election victory, Biden had to overcome an increasingly anti-democratic process.",https://www.huffpost.com/entry/joe-biden-2020-election-obstacles_n_5fa5ab5ec5b623bfac4f43fc,https://img.huffingtonpost.com/asset/5fa5ace6240000b33761f3f1.jpeg?cache=crfpzfuxw6&ops=1778_1000,2020-11-07T16:38:57Z,"President-elect Joe Biden just did something incredibly difficult: He defeated an incumbent president for the first time in 28 years, and only the fifth time in 100. Beyond overcoming the traditional… [+6298 chars]",the-huffington-post,The Huffington Post,left,biden
Darragh Roche,"Who Is Winning the Election? Where We Stand as Biden Edges Closer to Victory, Counting Continues",The winner of the 2020 presidential election could become clear today as key states begin counting ballots again.,https://www.newsweek.com/who-winning-election-biden-victory-counting-continues-1545389,https://d.newsweek.com/en/full/1665670/supporters-president-donald-trump.jpg,2020-11-06T09:54:01Z,The presidential race hasn't been called yet as counting of ballots resumes on Friday in what may be a critical day for both candidates. Former Vice President Joe Biden leads President Donald Trump i… [+2893 chars],newsweek,Newsweek,left,biden
Rebecca Speare-Cole,"In Georgia Election, Biden Overtakes Trump for First Time During Knife-Edge Count",Joe Biden has overtaken Donald Trump in Georgia with a 49.39 percent lead amid a razor-thin race to win the key battleground state.,https://www.newsweek.com/joe-biden-georgia-lead-donald-trump-2020-election-1545371,https://d.newsweek.com/en/full/1665621/trump-v-biden.jpg,2020-11-06T09:33:19Z,"Joe Biden has passed President Donald Trump in the state of Georgia amid a razor-thin election race in the state.
The Democratic candidate overtook the incumbent president's lead, with 49.39 percent… [+976 chars]",newsweek,Newsweek,left,biden
,In pictures: America chooses Biden,"Joe Biden will be the 46th president of the United States, CNN projects, denying Donald Trump a second term in office. A victory in Biden's native Pennsylvania put the Democrat over the 270 electoral votes needed to secure the presidency.",http://us.cnn.com/2020/10/12/politics/gallery/america-votes-2020/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201107213124-29-biden-harris-address-1107-super-tease.jpg,2020-11-08T04:00:34Z,"President-elect Joe Biden is joined by family members after he gave a speech in Wilmington, Delaware, on Saturday, November 7.
Updated 11:00 PM ET, Sat November 7, 2020
President-elect Joe Biden is… [+1389 chars]",cnn,CNN,mod_left,biden
CBS News,President-elect Joe Biden delivers remarks after projected victory,President-elect Joe Biden spoke to the nation on Saturday after winning the requisite electoral votes to win the presidential election. Watch his remarks here.,https://www.cbsnews.com/video/president-elect-joe-biden-delivers-remarks-after-projected-victory/,https://cbsnews3.cbsistatic.com/hub/i/r/2020/11/08/aadbe2f2-6093-4f5e-890e-3a09d3de803f/thumbnail/1200x630/f19f413dcf68d814aa399f16f9538e2d/bidenspeech-583382-640x360.jpg,2020-11-08T03:44:52+00:00,President-elect Joe Biden spoke to the nation on Saturday after winning the requisite electoral votes to win the presidential election. Watch his remarks here.,cbs-news,CBS News,mod_left,biden
CBS News,Vice President-elect Kamala Harris delivers remarks after projected victory,Vice President-elect Kamala Harris spoke to the nation on Saturday after Joe Biden was projected to win the presidential election. Watch her remarks here.,https://www.cbsnews.com/video/vice-president-elect-kamala-harris-delivers-remarks-after-projected-victory/,https://cbsnews1.cbsistatic.com/hub/i/r/2020/11/08/cb8dc7fd-d795-44e1-a5df-0bb3a1c18b8c/thumbnail/1200x630/bfc6f410af2024cc02bfe44c9d614d7c/kamalaspeech-583378-640x360.jpg,2020-11-08T03:32:47+00:00,Vice President-elect Kamala Harris spoke to the nation on Saturday after Joe Biden was projected to win the presidential election. Watch her remarks here.,cbs-news,CBS News,mod_left,biden
CBS News,Joe Biden expected to announce transition plan,"President-elect Joe Biden is expected to announce a COVID-19 task force on Monday, as the U.S. continues to break records for new cases in the country. CBS News campaign reporter Nicole Sganga and CBS News correspondent Nikole Killion joined CBSN to discuss t…",https://www.cbsnews.com/video/joe-biden-expected-to-announce-transition-plan/,https://cbsnews2.cbsistatic.com/hub/i/r/2020/11/08/c5705423-17f2-4f16-a839-d27536ba168a/thumbnail/1200x630/07dc7017c6d776886ba95d7b1b0283f0/thing-583371-640x360.jpg,2020-11-08T02:29:55+00:00,"Watch CBSN Live
Copyright © 2020 CBS Interactive Inc. All rights reserved.",cbs-news,CBS News,mod_left,biden
,Read: President-elect Joe Biden's remarks,"President-elect Joe Biden addressed the nation on November 7, hours after being projected the winner of the election.",http://us.cnn.com/2020/11/07/politics/joe-biden-president-elect-remarks/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201107205627-joe-biden-victory-speech-1107-super-tease.jpg,2020-11-08T02:16:00Z,,cnn,CNN,mod_left,biden
"Maeve Reston and Stephen Collinson, CNN",President-elect Joe Biden seeks to unite nation with victory speech,"President-elect Joe Biden speaks to a deeply divided nation Saturday night, making a plea for unity after four years of turmoil and conflict fomented by President Donald Trump.",http://us.cnn.com/2020/11/07/politics/biden-victory-speech-2020-election/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201107192144-biden-event-1107-super-tease.jpg,2020-11-08T01:18:14Z,"(CNN)President-elect Joe Biden will speak to a deeply divided nation tonight, making a plea for unity and understanding after four years of turmoil and conflict fomented by President Donald Trump, wh… [+8553 chars]",cnn,CNN,mod_left,biden
