author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,leaning,keyword
Salvador Hernandez,Women React To Kamala Harris Speaking As Vice President-Elect,"""Tears streaming down my face right now.""",https://www.buzzfeednews.com/article/salvadorhernandez/kamala-harris-victory-speech-reaction,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/8/2/campaign_images/5c1ed7daf952/heres-how-women-reacted-to-kamala-harris-speaking-2-9522-1604804082-9_dblbig.jpg?resize=1200:*,2020-11-08T04:07:21.8054238Z,,buzzfeed,Buzzfeed,left,president
Dominique Mosbergen,Vice President-Elect Kamala Harris Ushers In 'New Day For America' In Victory Speech,"Speaking to supporters on Saturday night, Harris paid tribute to women ""who throughout our nation’s history have paved the way for this moment tonight.”",https://www.huffpost.com/entry/kamala-harris-vice-president-elect-victory-speech-2020_n_5fa74100c5b623bfac5079b8,https://img.huffingtonpost.com/asset/5fa74fe8290000e925c6b8ca.jpeg?cache=ugcqsphckv&ops=1778_1000,2020-11-08T02:03:53Z,"In her first public address as vice president-elect, Kamala Harris thanked voters on Saturday night for turning out in record numbers to make your voices heard and ushering in a new day for America.… [+1269 chars]",the-huffington-post,The Huffington Post,left,president
Mary Papenfuss,Joe Biden To Name Coronavirus Task Force Headed by Former Surgeon General On Monday,The president-elect immediately signaled the importance of the COVID-19 fight to his administration.,https://www.huffpost.com/entry/joe-biden-coronavirus-task-force-vivek-murthy_n_5fa7250cc5b66009569b1004,https://img.huffingtonpost.com/asset/5fa7300a2900004f27c6b8bc.jpeg?cache=bspjq1dj0a&ops=1778_1000,2020-11-08T00:48:07Z,"President-elect Joe Biden plans on Monday to name a 12-member coronavirus task force to be co-chaired by former Surgeon General Vivek Murthy, according to several media reports citing anonymous sourc… [+2639 chars]",the-huffington-post,The Huffington Post,left,president
"Dominique Mosbergen, Sara Boboltz",President Trump Releases Statement From The Golf Course On Projected Biden Win,"Biden is projected to win Pennsylvania, a battleground state whose 20 electoral votes would push him over the 270 mark, thus winning the presidential ele...",https://www.huffpost.com/entry/trump-reacts-biden-president-election-win-2020_n_5fa4c52cc5b6f21920d9aab1,https://img.huffingtonpost.com/asset/5fa4cd6b2400004b1fb03c14.jpeg?cache=bbpjtjouyo&ops=1778_1000,2020-11-07T17:20:00Z,"Moments after Democrat Joe Biden was projected to be the winner of the 2020 presidential election, President Donald Trump released a statement on Saturday declaring that his opponent is rushing to fa… [+2991 chars]",the-huffington-post,The Huffington Post,left,president
Jonathan Cohn,Reality Finally Caught Up To President Donald Trump,"Most Americans are committed partisans, but Trump's job performance on COVID-19, health care and other issues surely mattered to a few.",https://www.huffpost.com/entry/covid-19-reality-caught-up-president-trump-2020_n_5fa1e8d6c5b6128c6b5d7b37,https://img.huffingtonpost.com/asset/5fa2066b240000af3161f031.jpeg?ops=1778_1000,2020-11-07T17:18:32Z,"Elections have consequences, as the saying goes. And sometimes elections are the consequences.
Donald Trump has lost the presidency, as the television networks and decision desks have now declared. … [+10342 chars]",the-huffington-post,The Huffington Post,left,president
S.V. Date,The Scariest Days Of The Trump Presidency Could Be The Final 74,"He may be a lame duck, but he will have the immense powers of a president and commander in chief — and nothing to lose.",https://www.huffpost.com/entry/trump-scary-lame-duck_n_5fa1e177c5b63dc9a5c1b2d7,https://img.huffingtonpost.com/asset/5fa1e2e5240000bf3161f009.jpeg?ops=1778_1000,2020-11-07T17:05:58Z,"WASHINGTON Americans nervous about a president who wanted troops to shoot border crossers, and who suggested using nuclear weapons against hurricanes, could be facing the scariest days of Donald Trum… [+4974 chars]",the-huffington-post,The Huffington Post,left,president
Tom Batchelor,"The Republicans Still Backing Donald Trump: Lindsey Graham, Tom Cotton and 2024 Hopefuls","Expressions of support for the president appeared to snowball after an appeal from Trump's sons on Thursday night for GOP leaders to ""have some backbone.""",https://www.newsweek.com/republicans-backing-donald-trump-1545404,https://d.newsweek.com/en/full/1665685/sen-lindsey-graham.jpg,2020-11-06T10:17:08Z,"Senior Republicans are throwing their weight behind President Donald Trump, taking to Twitter, television news networks and even donating large sums to his campaign's legal fund as GOP leaders fight … [+4902 chars]",newsweek,Newsweek,left,president
Darragh Roche,"Who Is Winning the Election? Where We Stand as Biden Edges Closer to Victory, Counting Continues",The winner of the 2020 presidential election could become clear today as key states begin counting ballots again.,https://www.newsweek.com/who-winning-election-biden-victory-counting-continues-1545389,https://d.newsweek.com/en/full/1665670/supporters-president-donald-trump.jpg,2020-11-06T09:54:01Z,The presidential race hasn't been called yet as counting of ballots resumes on Friday in what may be a critical day for both candidates. Former Vice President Joe Biden leads President Donald Trump i… [+2893 chars],newsweek,Newsweek,left,president
Jason Murdock,Trump Family and Closest Allies Taken on by Twitter in Battle on Election Misinformation,"The president's own Twitter account is currently littered with warning flags, including a post from today falsely claiming that he ""easily"" won the election.",https://www.newsweek.com/twitter-donald-trump-family-allies-election-misinformation-1545384,https://d.newsweek.com/en/full/1665679/donald-trump-twitter.jpg,2020-11-06T09:52:09Z,"Twitter has applied warning labels to several of President Donald Trump's relatives and associates as it continues to battle election disinformation.
As of Friday, the social media platform has cove… [+3416 chars]",newsweek,Newsweek,left,president
Jacob Jarvis,"Pence Sends Trump Campaign Email, Warns to 'Remain Vigilant' but Doesn't Claim Election Fraud",The vice president has been more reserved in his stance over the election outcome in contrast to the president's bold claims of fraud and victory.,https://www.newsweek.com/pence-trump-campaign-email-election-1545403,https://d.newsweek.com/en/full/1665674/pence.jpg,2020-11-06T09:45:47Z,"Vice President Mike Pence has called upon supporters to back him and Donald Trump to ""defend the Election results,"" though has stopped shy at reiterating the president's claims centered around fraud … [+2565 chars]",newsweek,Newsweek,left,president
