author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,leaning,keyword,scores,compound,pos,neg
Amanda Terkel,Joe Biden Just Gave A Totally Normal Political Speech — And It Felt So Radical,"He never chanted, ""Lock him up!""",https://www.huffpost.com/entry/joe-biden-speech-normal_n_5fa75323c5b623bfac509654,https://img.huffingtonpost.com/asset/5fa7570c240000343961f4ce.jpeg?cache=la4omnwakx&ops=1778_1000,2020-11-08T03:35:26Z,"Joe Biden greeted the nation as president-elect for the first time Saturday night, calling for decency, compassion and a fair shot for all. 
He offered an olive branch to supporters of President Don… [+2796 chars]",the-huffington-post,The Huffington Post,left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Mary Papenfuss,Joe Biden To Name Coronavirus Task Force Headed by Former Surgeon General On Monday,The president-elect immediately signaled the importance of the COVID-19 fight to his administration.,https://www.huffpost.com/entry/joe-biden-coronavirus-task-force-vivek-murthy_n_5fa7250cc5b66009569b1004,https://img.huffingtonpost.com/asset/5fa7300a2900004f27c6b8bc.jpeg?cache=bspjq1dj0a&ops=1778_1000,2020-11-08T00:48:07Z,"President-elect Joe Biden plans on Monday to name a 12-member coronavirus task force to be co-chaired by former Surgeon General Vivek Murthy, according to several media reports citing anonymous sourc… [+2639 chars]",the-huffington-post,The Huffington Post,left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Hamed Aleaziz,How DHS Employees Are Reacting To Biden's Win,“We can actually carry out our mission for the American people again.”,https://www.buzzfeednews.com/article/hamedaleaziz/dhs-ice-employees-react-to-biden-election-win,https://img.buzzfeed.com/buzzfeed-static/static/2020-11/7/21/campaign_images/5c1ed7daf952/the-chaos-may-end-how-dhs-employees-are-reacting--2-9180-1604785745-28_dblbig.jpg?resize=1200:*,2020-11-07T21:52:24.2528903Z,"The election of President-elect Joe Biden after a long, divisive campaign has been met with excitement and relief among many Department of Homeland Security employees who had been worried that the Tr… [+7319 chars]",buzzfeed,Buzzfeed,left,biden,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.5859}",0.5859,0.352,0.0
"Dominique Mosbergen, Sara Boboltz",President Trump Releases Statement From The Golf Course On Projected Biden Win,"Biden is projected to win Pennsylvania, a battleground state whose 20 electoral votes would push him over the 270 mark, thus winning the presidential ele...",https://www.huffpost.com/entry/trump-reacts-biden-president-election-win-2020_n_5fa4c52cc5b6f21920d9aab1,https://img.huffingtonpost.com/asset/5fa4cd6b2400004b1fb03c14.jpeg?cache=bbpjtjouyo&ops=1778_1000,2020-11-07T17:20:00Z,"Moments after Democrat Joe Biden was projected to be the winner of the 2020 presidential election, President Donald Trump released a statement on Saturday declaring that his opponent is rushing to fa… [+2991 chars]",the-huffington-post,The Huffington Post,left,biden,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5859}",0.5859,0.257,0.0
Paul Blumenthal,Joe Biden Had To Beat Donald Trump With One Hand Tied Behind His Back,"To pull off a historic election victory, Biden had to overcome an increasingly anti-democratic process.",https://www.huffpost.com/entry/joe-biden-2020-election-obstacles_n_5fa5ab5ec5b623bfac4f43fc,https://img.huffingtonpost.com/asset/5fa5ace6240000b33761f3f1.jpeg?cache=crfpzfuxw6&ops=1778_1000,2020-11-07T16:38:57Z,"President-elect Joe Biden just did something incredibly difficult: He defeated an incumbent president for the first time in 28 years, and only the fifth time in 100. Beyond overcoming the traditional… [+6298 chars]",the-huffington-post,The Huffington Post,left,biden,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}",0.4939,0.198,0.0
Darragh Roche,"Who Is Winning the Election? Where We Stand as Biden Edges Closer to Victory, Counting Continues",The winner of the 2020 presidential election could become clear today as key states begin counting ballots again.,https://www.newsweek.com/who-winning-election-biden-victory-counting-continues-1545389,https://d.newsweek.com/en/full/1665670/supporters-president-donald-trump.jpg,2020-11-06T09:54:01Z,The presidential race hasn't been called yet as counting of ballots resumes on Friday in what may be a critical day for both candidates. Former Vice President Joe Biden leads President Donald Trump i… [+2893 chars],newsweek,Newsweek,left,biden,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.5267}",0.5267,0.185,0.0
Rebecca Speare-Cole,"In Georgia Election, Biden Overtakes Trump for First Time During Knife-Edge Count",Joe Biden has overtaken Donald Trump in Georgia with a 49.39 percent lead amid a razor-thin race to win the key battleground state.,https://www.newsweek.com/joe-biden-georgia-lead-donald-trump-2020-election-1545371,https://d.newsweek.com/en/full/1665621/trump-v-biden.jpg,2020-11-06T09:33:19Z,"Joe Biden has passed President Donald Trump in the state of Georgia amid a razor-thin election race in the state.
The Democratic candidate overtook the incumbent president's lead, with 49.39 percent… [+976 chars]",newsweek,Newsweek,left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
CBS News,President-elect Joe Biden delivers remarks after projected victory,President-elect Joe Biden spoke to the nation on Saturday after winning the requisite electoral votes to win the presidential election. Watch his remarks here.,https://www.cbsnews.com/video/president-elect-joe-biden-delivers-remarks-after-projected-victory/,https://cbsnews3.cbsistatic.com/hub/i/r/2020/11/08/aadbe2f2-6093-4f5e-890e-3a09d3de803f/thumbnail/1200x630/f19f413dcf68d814aa399f16f9538e2d/bidenspeech-583382-640x360.jpg,2020-11-08T03:44:52+00:00,President-elect Joe Biden spoke to the nation on Saturday after winning the requisite electoral votes to win the presidential election. Watch his remarks here.,cbs-news,CBS News,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
CBS News,Vice President-elect Kamala Harris delivers remarks after projected victory,Vice President-elect Kamala Harris spoke to the nation on Saturday after Joe Biden was projected to win the presidential election. Watch her remarks here.,https://www.cbsnews.com/video/vice-president-elect-kamala-harris-delivers-remarks-after-projected-victory/,https://cbsnews1.cbsistatic.com/hub/i/r/2020/11/08/cb8dc7fd-d795-44e1-a5df-0bb3a1c18b8c/thumbnail/1200x630/bfc6f410af2024cc02bfe44c9d614d7c/kamalaspeech-583378-640x360.jpg,2020-11-08T03:32:47+00:00,Vice President-elect Kamala Harris spoke to the nation on Saturday after Joe Biden was projected to win the presidential election. Watch her remarks here.,cbs-news,CBS News,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
CBS News,Joe Biden expected to announce transition plan,"President-elect Joe Biden is expected to announce a COVID-19 task force on Monday, as the U.S. continues to break records for new cases in the country. CBS News campaign reporter Nicole Sganga and CBS News correspondent Nikole Killion joined CBSN to discuss t…",https://www.cbsnews.com/video/joe-biden-expected-to-announce-transition-plan/,https://cbsnews2.cbsistatic.com/hub/i/r/2020/11/08/c5705423-17f2-4f16-a839-d27536ba168a/thumbnail/1200x630/07dc7017c6d776886ba95d7b1b0283f0/thing-583371-640x360.jpg,2020-11-08T02:29:55+00:00,"Watch CBSN Live
Copyright © 2020 CBS Interactive Inc. All rights reserved.",cbs-news,CBS News,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
"Maeve Reston and Stephen Collinson, CNN",President-elect Joe Biden seeks to unite nation with victory speech,"President-elect Joe Biden speaks to a deeply divided nation Saturday night, making a plea for unity after four years of turmoil and conflict fomented by President Donald Trump.",http://us.cnn.com/2020/11/07/politics/biden-victory-speech-2020-election/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201107192144-biden-event-1107-super-tease.jpg,2020-11-08T01:18:14Z,"(CNN)President-elect Joe Biden will speak to a deeply divided nation tonight, making a plea for unity and understanding after four years of turmoil and conflict fomented by President Donald Trump, wh… [+8553 chars]",cnn,CNN,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Grace Segers,Watch Live: President-elect Joe Biden and Vice President-elect Kamala Harris deliver remarks,This will be the first address Biden and Harris make after projections that they won the election.,https://www.cbsnews.com/news/president-elect-joe-biden-vice-president-elect-kamala-harris-watch-live-stream-2020-11-07/,https://cbsnews1.cbsistatic.com/hub/i/r/2020/11/07/bbf04add-16bf-4c59-905d-87df7957bc74/thumbnail/1200x630g2/f07e3884e4e5f0ab5e308ff6256cc6e2/rtx7ozua.jpg,2020-11-08T01:02:42+00:00,"President-elect Joe Biden and Vice President-elect Kamala Harris are delivering remarks on Saturday, after winning the requisite electoral votes to win the presidential election. CBS News projected t… [+3703 chars]",cbs-news,CBS News,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
CBS News,Nation reacts after Joe Biden is projected to win the 2020 election,Biden is projected to win the electoral votes needed to be declared the 46th president of the United States.,https://www.cbsnews.com/pictures/2020-election-results-nation-reacts/,https://cbsnews2.cbsistatic.com/hub/i/r/2020/11/07/48017ef0-95d5-4b49-86b0-134f54ea1112/thumbnail/1200x630/c155ae577b1b3adde4b04ae5c7c58093/ap-20312614481173.jpg,2020-11-07T23:00:20+00:00,Biden is projected to win the electoral votes needed to be declared the 46th president of the United States.,cbs-news,CBS News,mod_left,biden,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5859}",0.5859,0.257,0.0
T.C. Sottek,President Trump is defeated: the timeline is restored,President Trump just lost the election to Joe Biden. Now it’s time to restore our timeline — and reclaim some joy.,https://www.theverge.com/2020/11/7/21548036/election-2020-joe-biden-wins-president-trump-defeated,https://cdn.vox-cdn.com/thumbor/bOEO2j-0uwUfcFZGdsGhBUsqtFM=/0x151:3004x1724/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22010364/1228916056.jpg,2020-11-07T16:28:58Z,"Youre fired
Photo by Saul Loeb / AFP via Getty Images
After years of chaos, extremism, and death, Americans have chosen to remove President Donald Trump from office. Despite the presidents attempt … [+1708 chars]",the-verge,The Verge,mod_left,biden,"{'neg': 0.27, 'neu': 0.522, 'pos': 0.209, 'compound': -0.1779}",-0.1779,0.209,0.27
"Stefan Becket, Melissa Quinn, Grace Segers, Audrey McNamara, Kathryn Watson, Sarah Lynch Baldwin",2020 Election Live Updates: Biden leads as vote count continues in key states,The race for the presidency remains uncalled.,https://www.cbsnews.com/live-updates/2020-election-live-updates-2020-11-07/,https://cbsnews2.cbsistatic.com/hub/i/r/2020/11/07/af0a516c-c77c-4129-b569-e9b5df80a810/thumbnail/1200x630/f311cef0827ea3710a9f4bceaac2e1e9/gettyimages-1229491276.jpg,2020-11-07T13:53:22+00:00,"Biden delivers remarks as final votes are cou...07:35
Biden took the stage at Chase Center in Wilmington, Delaware, for a late-night address Friday to the nation. He declared ""look at the national n… [+1185 chars]",cbs-news,CBS News,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
NBC Universal,Live election results 2020: Latest vote count as Joe Biden leads in swing states,"Live presidential election results and updated vote count as Joe Biden leads President Trump in key swing states of Georgia, Pennsylvania, Arizona and Nevada.",https://www.nbcnews.com/politics/2020-election/live-blog/2020-11-07-trump-biden-election-results-n1246882,https://media1.s-nbcnews.com/j/newscms/2020_45/3425842/201104-post-election-live-blog-main-cover-cs_677f87a787c5da5efad0d320bdbc0748.nbcnews-fp-1200-630.jpg,2020-11-07T11:18:00Z,"Biden predicts win, calls for unity, as presidential race still undecided
WILMINGTON, Del. Joe Biden on Friday night once again predicted victory in the 2020 race, calling for unity after the final … [+3748 chars]",nbc-news,NBC News,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
"By <a href=""/profiles/meg-wagner"">Meg Wagner</a>, <a href=""/profiles/fernando-alfonso-iii"">Fernando Alfonso III</a>, Melissa Macaya, <a href=""/profiles/melissa-mahtani"">Melissa Mahtani</a>, <a href=""/profiles/veronica-rocha"">Veronica Rocha</a> and <a href=""/profiles/amanda-wills"">Amanda Wills</a>, CNN",Election results live: Joe Biden elected president,Joe Biden has won the presidency. Follow here for the latest.,https://www.cnn.com/politics/live-news/trump-biden-election-results-11-07-20/h_b26179e4615d299ab906f5880dc0fc98,https://dynaimage.cdn.cnn.com/cnn/digital-images/org/9eb60051-c3a2-4fb2-9255-64d307e7b1b7.jpg,2020-11-07T11:02:11Z,"President-elect Joe Biden sent a message to those who voted for President Trump, calling for unity and reconciliation. 
""Now for all those of you who voted for President Trump, I understand your dis… [+1023 chars]",cnn,CNN,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
"By <a href=""/profiles/meg-wagner"">Meg Wagner</a>, <a href=""/profiles/fernando-alfonso-iii"">Fernando Alfonso III</a>, Melissa Macaya, <a href=""/profiles/melissa-mahtani"">Melissa Mahtani</a>, <a href=""/profiles/veronica-rocha"">Veronica Rocha</a> and <a href=""/profiles/amanda-wills"">Amanda Wills</a>, CNN",Election results live: Joe Biden elected president,Joe Biden has won the presidency. Follow here for the latest.,https://www.cnn.com/politics/live-news/trump-biden-election-results-11-07-20/h_1af716903b7402bc31d79033b2667d8c,https://cdn.cnn.com/cnnnext/dam/assets/201030082605-04-trump-biden-election-night-split-super-tease.jpg,2020-11-07T11:02:11Z,"The cars have started to arrive in the parking lot of the Chase Center for the biggest show in Wilmington, Delaware, tonight: A drive-in rally for the victory rally for President-elect Joe Biden and … [+853 chars]",cnn,CNN,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
"By <a href=""/profiles/meg-wagner"">Meg Wagner</a>, <a href=""/profiles/fernando-alfonso-iii"">Fernando Alfonso III</a>, Melissa Macaya, <a href=""/profiles/melissa-mahtani"">Melissa Mahtani</a>, <a href=""/profiles/veronica-rocha"">Veronica Rocha</a> and <a href=""/profiles/amanda-wills"">Amanda Wills</a>, CNN",Election results live: Joe Biden elected president,Joe Biden has won the presidency. Follow here for the latest.,https://www.cnn.com/politics/live-news/trump-biden-election-results-11-07-20/h_0ad95627e7d03a19231b55127e9b39d3,https://cdn.cnn.com/cnnnext/dam/assets/201030082605-04-trump-biden-election-night-split-super-tease.jpg,2020-11-07T11:02:11Z,"Minnesota Sen. Amy Klobuchar said that President-elect Joe Biden and Vice President-elect Kamala Harris will work on building a big coalition to unite Democratic and GOP lawmakers. 
I was buoyed by … [+1658 chars]",cnn,CNN,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
NBC News,Presidential election results: Live map of 2020 electoral votes,"Results of the 2020 U.S. presidential election, including electoral votes between Trump and Biden in each state, and who is winning the popular vote.",https://www.nbcnews.com/politics/2020-elections/president-results,https://firecracker-cms.s3.amazonaws.com/cms-files/production/images/uploads/201013-election-president-polls-social-cs_4bfc07c7e4ae15217e45905d7405d6ef.jpg,2020-09-10T19:00:00Z,"The expected vote is the total number of votes that are expected in a given race once all votes are counted. This number is an estimate and is based on several different factors, including informatio… [+473 chars]",nbc-news,NBC News,mod_left,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
BBC News,'My message to Republican friends',Supporters of US President-Elect Joe Biden give their message to people who voted for Donald Trump.,http://www.bbc.co.uk/news/election-us-2020-54859464,https://ichef.bbci.co.uk/images/ic/400xn/p08xrfx3.jpg,2020-11-08T03:22:24.4594575Z,"US President-Elect Joe Biden has spoken of his wish to ""unify"" the United States, in his first speech since his election win.
Some of those who voted for Joe Biden tell the BBC what their message wo… [+86 chars]",bbc-news,BBC News,moderate,biden,"{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.4767}",0.4767,0.437,0.0
Jonathan Easley,Biden vows to heal divided nation | TheHill,President-elect Joe Biden in a victory speech Saturday night vowed to heal a nation to...,http://thehill.com/homenews/campaign/524992-biden-vows-to-heal-divided-nation,https://thehill.com/sites/default/files/bidenjoebidenjill.victory.1107.jpg,2020-11-08T03:08:17Z,"President-elect Joe BidenJoe BidenBiden claims a 'mandate' to govern, calls for end to 'partisan warfare'Mark Meadows tests positive for coronavirusTrump supporters scream at Telemundo reporter durin… [+6408 chars]",the-hill,The Hill,moderate,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
BBC News,"US election 2020: Time to heal, Biden says in address to nation","The Democrat addresses the nation after winning enough votes to defeat Donald Trump, according to projections.",http://www.bbc.co.uk/news/live/election-us-2020-54786937,https://m.files.bbci.co.uk/modules/bbc-morph-news-waf-page-meta/4.1.4/bbc_news_logo.png,2020-11-08T02:52:32.0596524Z,"From talking about Biden's family, Harris moves into discussing her own - and what this moment means for women.
Harris says her mother ""believed so deeply in an America where a moment like this is p… [+810 chars]",bbc-news,BBC News,moderate,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
BBC News,Biden voter welcomed at Trump rally,There was a moment of unity between three very different Trump and Biden supporters at a Trump rally in Arizona.,http://www.bbc.co.uk/news/election-us-2020-54859539,https://ichef.bbci.co.uk/images/ic/400xn/p08xrdv6.jpg,2020-11-08T01:52:22.6131402Z,"There was a moment of unity between three very different Trump and Biden supporters at a Trump rally in Arizona. 
Speaking to the BBC's Sophie Long, the voters displayed a civility rarely seen betwe… [+40 chars]",bbc-news,BBC News,moderate,biden,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.34}",0.34,0.324,0.0
"Bojan Pancevski, Paul Vieira, Ann Simmons",World Leaders Ready Themselves for a Biden Presidency,"Global leaders congratulated Joe Biden on his election win, as some allies of President Trump stayed silent",https://www.wsj.com/articles/world-leaders-ready-themselves-for-a-biden-presidency-11604798959,https://images.wsj.net/im-256901/social,2020-11-08T01:29:00Z,"After a drawn-out vote count that transfixed not just the U.S. but most of the world, many global leaders on Saturday were quick to respond to former Vice President Joe Bidens election victory, with … [+326 chars]",the-wall-street-journal,The Wall Street Journal,moderate,biden,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",0.3612,0.294,0.0
BBC News,US election result: What Biden's victory means for rest of world,From Beijing to Berlin - the BBC looks at the impact of the ideological shift in the White House.,http://www.bbc.co.uk/news/election-us-2020-54801409,https://ichef.bbci.co.uk/news/1024/branded_news/F093/production/_115278516_biden_world_reacts_976.png,2020-11-07T23:37:23.1477039Z,"image copyrightGetty Images
image captionThe knife-edge vote has been closely watched abroad
After days of uncertainty, Joe Biden has won the US presidential election, BBC projections show. 
Durin… [+16659 chars]",bbc-news,BBC News,moderate,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Reid Wilson,On The Trail: Biden's bet pays off | TheHill,Joseph Robinette Biden Jr. launched his campaign for the White House a year and a half...,http://thehill.com/homenews/campaign/524952-on-the-trail-bidens-bet-pays-off,https://thehill.com/sites/default/files/bidenjoe3_110620getty.jpg,2020-11-07T18:36:34Z,"Joseph Robinette Biden Jr. launched his campaign for the White House a year and a half ago on a promise to restore the soul of the nation, a foundational bet that Americans were weary of the tumult o… [+6695 chars]",the-hill,The Hill,moderate,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Gerald F. Seib,How Biden Could Turn a Fractured Picture to His Advantage,An almost evenly divided Senate and a more closely divided House could be a combination that empowers moderates in both parties,https://www.wsj.com/articles/how-biden-could-turn-a-fractured-picture-to-his-advantage-11604772088,https://images.wsj.net/im-256788/social,2020-11-07T18:01:00Z,"At first glance, the 2020 election might seem to have produced the political equivalent of a dumpster fire: a deeply divided country, a bitterly contested presidential election and the prospect of di… [+307 chars]",the-wall-street-journal,The Wall Street Journal,moderate,biden,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.25}",0.25,0.2,0.0
Jonathan Easley,Grueling vote count ends in Biden victory | TheHill,Joe Biden has won the White House after a grueling vote count that kept the nation on edge for fi...,http://thehill.com/homenews/campaign/524949-grueling-vote-count-ends-in-biden-victory,https://thehill.com/sites/default/files/newsletter-biden_102620getty.jpg,2020-11-07T17:59:02Z,"Joe BidenJoe BidenBiden claims a 'mandate' to govern, calls for end to 'partisan warfare'Mark Meadows tests positive for coronavirusTrump supporters scream at Telemundo reporter during live broadcast… [+7040 chars]",the-hill,The Hill,moderate,biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
