author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,leaning,keyword,scores,compound,pos,neg
Paul Blumenthal,Joe Biden Had To Beat Donald Trump With One Hand Tied Behind His Back,"To pull off a historic election victory, Biden had to overcome an increasingly anti-democratic process.",https://www.huffpost.com/entry/joe-biden-2020-election-obstacles_n_5fa5ab5ec5b623bfac4f43fc,https://img.huffingtonpost.com/asset/5fa5ace6240000b33761f3f1.jpeg?cache=crfpzfuxw6&ops=1778_1000,2020-11-07T16:38:57Z,"President-elect Joe Biden just did something incredibly difficult: He defeated an incumbent president for the first time in 28 years, and only the fifth time in 100. Beyond overcoming the traditional… [+6298 chars]",the-huffington-post,The Huffington Post,left,election,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}",0.4939,0.198,0.0
Darragh Roche,"Who Is Winning the Election? Where We Stand as Biden Edges Closer to Victory, Counting Continues",The winner of the 2020 presidential election could become clear today as key states begin counting ballots again.,https://www.newsweek.com/who-winning-election-biden-victory-counting-continues-1545389,https://d.newsweek.com/en/full/1665670/supporters-president-donald-trump.jpg,2020-11-06T09:54:01Z,The presidential race hasn't been called yet as counting of ballots resumes on Friday in what may be a critical day for both candidates. Former Vice President Joe Biden leads President Donald Trump i… [+2893 chars],newsweek,Newsweek,left,election,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.5267}",0.5267,0.185,0.0
Jason Murdock,Trump Family and Closest Allies Taken on by Twitter in Battle on Election Misinformation,"The president's own Twitter account is currently littered with warning flags, including a post from today falsely claiming that he ""easily"" won the election.",https://www.newsweek.com/twitter-donald-trump-family-allies-election-misinformation-1545384,https://d.newsweek.com/en/full/1665679/donald-trump-twitter.jpg,2020-11-06T09:52:09Z,"Twitter has applied warning labels to several of President Donald Trump's relatives and associates as it continues to battle election disinformation.
As of Friday, the social media platform has cove… [+3416 chars]",newsweek,Newsweek,left,election,"{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.5994}",-0.5994,0.0,0.29
Jacob Jarvis,"Pence Sends Trump Campaign Email, Warns to 'Remain Vigilant' but Doesn't Claim Election Fraud",The vice president has been more reserved in his stance over the election outcome in contrast to the president's bold claims of fraud and victory.,https://www.newsweek.com/pence-trump-campaign-email-election-1545403,https://d.newsweek.com/en/full/1665674/pence.jpg,2020-11-06T09:45:47Z,"Vice President Mike Pence has called upon supporters to back him and Donald Trump to ""defend the Election results,"" though has stopped shy at reiterating the president's claims centered around fraud … [+2565 chars]",newsweek,Newsweek,left,election,"{'neg': 0.068, 'neu': 0.623, 'pos': 0.309, 'compound': 0.6437}",0.6437,0.309,0.068
Rebecca Speare-Cole,"In Georgia Election, Biden Overtakes Trump for First Time During Knife-Edge Count",Joe Biden has overtaken Donald Trump in Georgia with a 49.39 percent lead amid a razor-thin race to win the key battleground state.,https://www.newsweek.com/joe-biden-georgia-lead-donald-trump-2020-election-1545371,https://d.newsweek.com/en/full/1665621/trump-v-biden.jpg,2020-11-06T09:33:19Z,"Joe Biden has passed President Donald Trump in the state of Georgia amid a razor-thin election race in the state.
The Democratic candidate overtook the incumbent president's lead, with 49.39 percent… [+976 chars]",newsweek,Newsweek,left,election,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
MSNBC,U.S. formally exits Paris climate change pact amid election uncertainty,"The United States on Wednesday formally left the Paris Agreement, a global pact forged five years ago to avert the threat of catastrophic climate change.",https://www.nbcnews.com/news/world/u-s-formally-exits-paris-climate-change-pact-amid-election-n1246350,https://media2.s-nbcnews.com/j/newscms/2020_45/3425780/201104-paris_agreement-mc-1125_f0622f4ce54c2bfa6a51349a2f3ba73b.nbcnews-fp-1200-630.JPG,2020-11-04T13:05:28Z,"BERLIN The United States on Wednesday formally left the Paris Agreement, a global pact forged five years ago to avert the threat of catastrophic climate change.
The move, long threatened by Presiden… [+2033 chars]",msnbc,MSNBC,left,election,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}",-0.34,0.0,0.211
MSNBC,World hedges its bets as America keeps counting its votes,"As results rolled in overnight, countries around the world had their eyes firmly glued on the election drama playing out in America.",https://www.nbcnews.com/politics/2020-election/world-hedges-its-bets-america-keeps-counting-its-votes-n1246341,https://media2.s-nbcnews.com/j/newscms/2020_45/3425771/201104-election-reax-mc-925_78557a0905163f922d8a16e678d711fc.nbcnews-fp-1200-630.JPG,2020-11-04T10:13:00Z,"LONDON Millions around the world had their eyes glued to the white knuckle election drama playing out in America on Wednesday, with allies stressing that no matter the winner their relationships with… [+3280 chars]",msnbc,MSNBC,left,election,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
MSNBC,"With nine states still counting millions of votes, Trump falsely claims he won",President Donald Trump made a series of false and misleading claims about the 2020 election early Wednesday morning. Here are the facts.,https://www.nbcnews.com/politics/2020-election/10-states-still-counting-millions-votes-trump-falsely-claims-he-n1246336,https://media4.s-nbcnews.com/j/newscms/2020_45/3425767/201104-trump-white-house-mc-923_456ade0a06bbf35b031f3a5ac8cb16b3.nbcnews-fp-1200-630.JPG,2020-11-04T09:39:00Z,"President Donald Trump made a series of false and misleading claims about the 2020 election and vote-counting processes early Wednesday morning, ranging from how he's fared so far in the race to what… [+3787 chars]",msnbc,MSNBC,left,election,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5719}",0.5719,0.236,0.0
MSNBC,"Republican John Cornyn wins re-election in Texas Senate race, NBC News projects","Cornyn, seeking a fourth term, survived a spirited challenge by MJ Hegar in another big near-miss for the Democratic Party in the Lone Star State.",https://www.nbcnews.com/politics/2020-election/republican-john-cornyn-wins-re-election-texas-senate-race-nbc-n1243492,https://media3.s-nbcnews.com/j/newscms/2020_45/3424850/201028-texas-john-cornyn-jm-1108_b0aabc0d478e1da6219a8a9002d65507.nbcnews-fp-1200-630.JPG,2020-11-04T07:28:00Z,"Republican Sen. John Cornyn of Texas fended off Democrat MJ Hegar on Tuesday, raising GOP hopes of weathering a potential blue wave on Capitol Hill.
With 92 percent of the vote counted, Cornyn was l… [+4121 chars]",msnbc,MSNBC,left,election,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",0.5719,0.252,0.0
CBS News,President-elect Joe Biden delivers remarks after projected victory,President-elect Joe Biden spoke to the nation on Saturday after winning the requisite electoral votes to win the presidential election. Watch his remarks here.,https://www.cbsnews.com/video/president-elect-joe-biden-delivers-remarks-after-projected-victory/,https://cbsnews3.cbsistatic.com/hub/i/r/2020/11/08/aadbe2f2-6093-4f5e-890e-3a09d3de803f/thumbnail/1200x630/f19f413dcf68d814aa399f16f9538e2d/bidenspeech-583382-640x360.jpg,2020-11-08T03:44:52+00:00,President-elect Joe Biden spoke to the nation on Saturday after winning the requisite electoral votes to win the presidential election. Watch his remarks here.,cbs-news,CBS News,mod_left,election,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
