author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,leaning,keyword,scores,compound,pos,neg
Dominique Mosbergen,Vice President-Elect Kamala Harris Ushers In 'New Day For America' In Victory Speech,"Speaking to supporters on Saturday night, Harris paid tribute to women ""who throughout our nation’s history have paved the way for this moment tonight.”",https://www.huffpost.com/entry/kamala-harris-vice-president-elect-victory-speech-2020_n_5fa74100c5b623bfac5079b8,https://img.huffingtonpost.com/asset/5fa74fe8290000e925c6b8ca.jpeg?cache=ugcqsphckv&ops=1778_1000,2020-11-08T02:03:53Z,"In her first public address as vice president-elect, Kamala Harris thanked voters on Saturday night for turning out in record numbers to make your voices heard and ushering in a new day for America.… [+1269 chars]",the-huffington-post,The Huffington Post,left,president,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Mary Papenfuss,Joe Biden To Name Coronavirus Task Force Headed by Former Surgeon General On Monday,The president-elect immediately signaled the importance of the COVID-19 fight to his administration.,https://www.huffpost.com/entry/joe-biden-coronavirus-task-force-vivek-murthy_n_5fa7250cc5b66009569b1004,https://img.huffingtonpost.com/asset/5fa7300a2900004f27c6b8bc.jpeg?cache=bspjq1dj0a&ops=1778_1000,2020-11-08T00:48:07Z,"President-elect Joe Biden plans on Monday to name a 12-member coronavirus task force to be co-chaired by former Surgeon General Vivek Murthy, according to several media reports citing anonymous sourc… [+2639 chars]",the-huffington-post,The Huffington Post,left,president,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
"Dominique Mosbergen, Sara Boboltz",President Trump Releases Statement From The Golf Course On Projected Biden Win,"Biden is projected to win Pennsylvania, a battleground state whose 20 electoral votes would push him over the 270 mark, thus winning the presidential ele...",https://www.huffpost.com/entry/trump-reacts-biden-president-election-win-2020_n_5fa4c52cc5b6f21920d9aab1,https://img.huffingtonpost.com/asset/5fa4cd6b2400004b1fb03c14.jpeg?cache=bbpjtjouyo&ops=1778_1000,2020-11-07T17:20:00Z,"Moments after Democrat Joe Biden was projected to be the winner of the 2020 presidential election, President Donald Trump released a statement on Saturday declaring that his opponent is rushing to fa… [+2991 chars]",the-huffington-post,The Huffington Post,left,president,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5859}",0.5859,0.257,0.0
Jonathan Cohn,Reality Finally Caught Up To President Donald Trump,"Most Americans are committed partisans, but Trump's job performance on COVID-19, health care and other issues surely mattered to a few.",https://www.huffpost.com/entry/covid-19-reality-caught-up-president-trump-2020_n_5fa1e8d6c5b6128c6b5d7b37,https://img.huffingtonpost.com/asset/5fa2066b240000af3161f031.jpeg?ops=1778_1000,2020-11-07T17:18:32Z,"Elections have consequences, as the saying goes. And sometimes elections are the consequences.
Donald Trump has lost the presidency, as the television networks and decision desks have now declared. … [+10342 chars]",the-huffington-post,The Huffington Post,left,president,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
S.V. Date,The Scariest Days Of The Trump Presidency Could Be The Final 74,"He may be a lame duck, but he will have the immense powers of a president and commander in chief — and nothing to lose.",https://www.huffpost.com/entry/trump-scary-lame-duck_n_5fa1e177c5b63dc9a5c1b2d7,https://img.huffingtonpost.com/asset/5fa1e2e5240000bf3161f009.jpeg?ops=1778_1000,2020-11-07T17:05:58Z,"WASHINGTON Americans nervous about a president who wanted troops to shoot border crossers, and who suggested using nuclear weapons against hurricanes, could be facing the scariest days of Donald Trum… [+4974 chars]",the-huffington-post,The Huffington Post,left,president,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Tom Batchelor,"The Republicans Still Backing Donald Trump: Lindsey Graham, Tom Cotton and 2024 Hopefuls","Expressions of support for the president appeared to snowball after an appeal from Trump's sons on Thursday night for GOP leaders to ""have some backbone.""",https://www.newsweek.com/republicans-backing-donald-trump-1545404,https://d.newsweek.com/en/full/1665685/sen-lindsey-graham.jpg,2020-11-06T10:17:08Z,"Senior Republicans are throwing their weight behind President Donald Trump, taking to Twitter, television news networks and even donating large sums to his campaign's legal fund as GOP leaders fight … [+4902 chars]",newsweek,Newsweek,left,president,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.0258}",0.0258,0.084,0.0
Darragh Roche,"Who Is Winning the Election? Where We Stand as Biden Edges Closer to Victory, Counting Continues",The winner of the 2020 presidential election could become clear today as key states begin counting ballots again.,https://www.newsweek.com/who-winning-election-biden-victory-counting-continues-1545389,https://d.newsweek.com/en/full/1665670/supporters-president-donald-trump.jpg,2020-11-06T09:54:01Z,The presidential race hasn't been called yet as counting of ballots resumes on Friday in what may be a critical day for both candidates. Former Vice President Joe Biden leads President Donald Trump i… [+2893 chars],newsweek,Newsweek,left,president,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.5267}",0.5267,0.185,0.0
Jason Murdock,Trump Family and Closest Allies Taken on by Twitter in Battle on Election Misinformation,"The president's own Twitter account is currently littered with warning flags, including a post from today falsely claiming that he ""easily"" won the election.",https://www.newsweek.com/twitter-donald-trump-family-allies-election-misinformation-1545384,https://d.newsweek.com/en/full/1665679/donald-trump-twitter.jpg,2020-11-06T09:52:09Z,"Twitter has applied warning labels to several of President Donald Trump's relatives and associates as it continues to battle election disinformation.
As of Friday, the social media platform has cove… [+3416 chars]",newsweek,Newsweek,left,president,"{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.5994}",-0.5994,0.0,0.29
Jacob Jarvis,"Pence Sends Trump Campaign Email, Warns to 'Remain Vigilant' but Doesn't Claim Election Fraud",The vice president has been more reserved in his stance over the election outcome in contrast to the president's bold claims of fraud and victory.,https://www.newsweek.com/pence-trump-campaign-email-election-1545403,https://d.newsweek.com/en/full/1665674/pence.jpg,2020-11-06T09:45:47Z,"Vice President Mike Pence has called upon supporters to back him and Donald Trump to ""defend the Election results,"" though has stopped shy at reiterating the president's claims centered around fraud … [+2565 chars]",newsweek,Newsweek,left,president,"{'neg': 0.068, 'neu': 0.623, 'pos': 0.309, 'compound': 0.6437}",0.6437,0.309,0.068
MSNBC,"Win or lose, Trump and his politics look like they're here to stay","Democrats were hoping for a repudiation of President Trump. Now, it looks like President Trump's politics are here to stay whether or not he wins.",https://www.nbcnews.com/politics/meet-the-press/win-or-lose-trump-his-politics-look-they-re-here-n1246358,https://media2.s-nbcnews.com/j/newscms/2020_45/3425803/201104-trumpism-mc-1309_08b1a01614a6999cae6ad4d9435ede5d.nbcnews-fp-1200-630.JPG,2020-11-04T13:44:17Z,"WASHINGTON Whether or not President Trump ultimately wins or loses and the remaining vote appears to be strong for Joe Biden Trumpism looks like its here to stay.
Democrats were hoping for a repudia… [+7112 chars]",msnbc,MSNBC,left,president,"{'neg': 0.142, 'neu': 0.526, 'pos': 0.332, 'compound': 0.5574}",0.5574,0.332,0.142
