author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,leaning,keyword,scores,compound,pos,neg
Hilary Hanson,Trump's 'Big' Press Conference At Four Seasons Total Landscaping Sows Confusion,"When Donald Trump said his lawyers would be speaking at the Four Seasons, he didn't mean THAT Four Seasons.",https://www.huffpost.com/entry/trump-four-seasons-total-landscaping_n_5fa6e08bc5b6f21920dc14f7,https://img.huffingtonpost.com/asset/5fa6e35b240000503961f474.jpeg?cache=s1eodmbp2c&ops=1778_1000,2020-11-07T18:47:22Z,"Less than an hour before news broke that Joe Biden was projected to win the 2020 presidential election, President Donald Trump announced that his legal team would be holding a press conference at Fou… [+2953 chars]",the-huffington-post,The Huffington Post,left,trump,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.18
"Dominique Mosbergen, Sara Boboltz",President Trump Releases Statement From The Golf Course On Projected Biden Win,"Biden is projected to win Pennsylvania, a battleground state whose 20 electoral votes would push him over the 270 mark, thus winning the presidential ele...",https://www.huffpost.com/entry/trump-reacts-biden-president-election-win-2020_n_5fa4c52cc5b6f21920d9aab1,https://img.huffingtonpost.com/asset/5fa4cd6b2400004b1fb03c14.jpeg?cache=bbpjtjouyo&ops=1778_1000,2020-11-07T17:20:00Z,"Moments after Democrat Joe Biden was projected to be the winner of the 2020 presidential election, President Donald Trump released a statement on Saturday declaring that his opponent is rushing to fa… [+2991 chars]",the-huffington-post,The Huffington Post,left,trump,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5859}",0.5859,0.257,0.0
Jonathan Cohn,Reality Finally Caught Up To President Donald Trump,"Most Americans are committed partisans, but Trump's job performance on COVID-19, health care and other issues surely mattered to a few.",https://www.huffpost.com/entry/covid-19-reality-caught-up-president-trump-2020_n_5fa1e8d6c5b6128c6b5d7b37,https://img.huffingtonpost.com/asset/5fa2066b240000af3161f031.jpeg?ops=1778_1000,2020-11-07T17:18:32Z,"Elections have consequences, as the saying goes. And sometimes elections are the consequences.
Donald Trump has lost the presidency, as the television networks and decision desks have now declared. … [+10342 chars]",the-huffington-post,The Huffington Post,left,trump,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
S.V. Date,The Scariest Days Of The Trump Presidency Could Be The Final 74,"He may be a lame duck, but he will have the immense powers of a president and commander in chief — and nothing to lose.",https://www.huffpost.com/entry/trump-scary-lame-duck_n_5fa1e177c5b63dc9a5c1b2d7,https://img.huffingtonpost.com/asset/5fa1e2e5240000bf3161f009.jpeg?ops=1778_1000,2020-11-07T17:05:58Z,"WASHINGTON Americans nervous about a president who wanted troops to shoot border crossers, and who suggested using nuclear weapons against hurricanes, could be facing the scariest days of Donald Trum… [+4974 chars]",the-huffington-post,The Huffington Post,left,trump,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
Paul Blumenthal,Joe Biden Had To Beat Donald Trump With One Hand Tied Behind His Back,"To pull off a historic election victory, Biden had to overcome an increasingly anti-democratic process.",https://www.huffpost.com/entry/joe-biden-2020-election-obstacles_n_5fa5ab5ec5b623bfac4f43fc,https://img.huffingtonpost.com/asset/5fa5ace6240000b33761f3f1.jpeg?cache=crfpzfuxw6&ops=1778_1000,2020-11-07T16:38:57Z,"President-elect Joe Biden just did something incredibly difficult: He defeated an incumbent president for the first time in 28 years, and only the fifth time in 100. Beyond overcoming the traditional… [+6298 chars]",the-huffington-post,The Huffington Post,left,trump,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}",0.4939,0.198,0.0
Arthur Delaney,Trump Lost. Trumpism Lives On.,Tom Cotton and Josh Hawley are two of the most prominent politicians in line to carry the MAGA flag.,https://www.huffpost.com/entry/tom-cotton-josh-hawley-trump_n_5fa18ae6c5b67617e64b9399,https://img.huffingtonpost.com/asset/5fa19100240000221f9ade7d.jpeg?cache=8h22yaspbg&ops=1778_1000,2020-11-07T16:36:21Z,"President Donald Trump has lost the election, but even if he goes away, plenty of people are vying to become the new leader of his grievance movement.
Possible pretenders to the Trump throne include… [+7691 chars]",the-huffington-post,The Huffington Post,left,trump,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}",-0.3182,0.0,0.365
Tom Batchelor,"The Republicans Still Backing Donald Trump: Lindsey Graham, Tom Cotton and 2024 Hopefuls","Expressions of support for the president appeared to snowball after an appeal from Trump's sons on Thursday night for GOP leaders to ""have some backbone.""",https://www.newsweek.com/republicans-backing-donald-trump-1545404,https://d.newsweek.com/en/full/1665685/sen-lindsey-graham.jpg,2020-11-06T10:17:08Z,"Senior Republicans are throwing their weight behind President Donald Trump, taking to Twitter, television news networks and even donating large sums to his campaign's legal fund as GOP leaders fight … [+4902 chars]",newsweek,Newsweek,left,trump,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.0258}",0.0258,0.084,0.0
Jason Murdock,Trump Family and Closest Allies Taken on by Twitter in Battle on Election Misinformation,"The president's own Twitter account is currently littered with warning flags, including a post from today falsely claiming that he ""easily"" won the election.",https://www.newsweek.com/twitter-donald-trump-family-allies-election-misinformation-1545384,https://d.newsweek.com/en/full/1665679/donald-trump-twitter.jpg,2020-11-06T09:52:09Z,"Twitter has applied warning labels to several of President Donald Trump's relatives and associates as it continues to battle election disinformation.
As of Friday, the social media platform has cove… [+3416 chars]",newsweek,Newsweek,left,trump,"{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.5994}",-0.5994,0.0,0.29
Jacob Jarvis,"Pence Sends Trump Campaign Email, Warns to 'Remain Vigilant' but Doesn't Claim Election Fraud",The vice president has been more reserved in his stance over the election outcome in contrast to the president's bold claims of fraud and victory.,https://www.newsweek.com/pence-trump-campaign-email-election-1545403,https://d.newsweek.com/en/full/1665674/pence.jpg,2020-11-06T09:45:47Z,"Vice President Mike Pence has called upon supporters to back him and Donald Trump to ""defend the Election results,"" though has stopped shy at reiterating the president's claims centered around fraud … [+2565 chars]",newsweek,Newsweek,left,trump,"{'neg': 0.068, 'neu': 0.623, 'pos': 0.309, 'compound': 0.6437}",0.6437,0.309,0.068
Rebecca Speare-Cole,"In Georgia Election, Biden Overtakes Trump for First Time During Knife-Edge Count",Joe Biden has overtaken Donald Trump in Georgia with a 49.39 percent lead amid a razor-thin race to win the key battleground state.,https://www.newsweek.com/joe-biden-georgia-lead-donald-trump-2020-election-1545371,https://d.newsweek.com/en/full/1665621/trump-v-biden.jpg,2020-11-06T09:33:19Z,"Joe Biden has passed President Donald Trump in the state of Georgia amid a razor-thin election race in the state.
The Democratic candidate overtook the incumbent president's lead, with 49.39 percent… [+976 chars]",newsweek,Newsweek,left,trump,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0
